filename,prob_y0,prob_y1,true_label,pred_label
b6f492700535.png,1.0,7.511049e-10,0,0
3377f52ba41a.png,1.0,1.3090005e-12,0,0
9dca9b12425f.png,0.006938517,0.9930615,1,1
d36799d98730.png,0.87192196,0.12807804,0,0
601890920c0b.png,1.0,2.4972087e-13,0,0
79df8933d7a0.png,0.9995939,0.00040609296,0,0
438f170acbf3.png,0.99916357,0.00083640503,0,0
0a7f8f30ee91.png,1.0,2.5176543e-09,0,0
34113eab49f1.png,1.0,4.0928334e-14,0,0
08a42fcd9bdc.png,0.9999014,9.857549e-05,0,0
28b304a032d8.png,0.9999885,1.1513172e-05,0,0
233962dfdf30.png,1.0,3.569821e-09,0,0
1351ab8f9ebb.png,1.0,9.4881526e-11,0,0
66bac827ac7b.png,1.0,5.917247e-09,0,0
aa0e6a240c3c.png,0.9974817,0.002518307,0,0
225a71e696f2.png,1.0,1.6350349e-09,0,0
1a3c9b6a3509.png,1.0,7.9950394e-11,0,0
45efb67f2a29.png,0.9999925,7.5010375e-06,0,0
b67e4948a311.png,1.0,2.244635e-10,0,0
c633aa073349.png,0.99667853,0.003321484,0,0
4a49357ec3c8.png,0.002498567,0.99750143,1,1
c510345644df.png,0.9995063,0.00049369794,0,0
9b3bc745e4b5.png,1.0,1.6457172e-08,0,0
187996654e54.png,0.9979716,0.0020284352,0,0
9b748ed458a2.png,0.9997055,0.00029450696,0,0
53f57d5c519e.png,0.029747427,0.9702526,1,1
e6a768965815.png,1.0,1.414832e-09,0,0
07cd9aebe49e.png,0.038598895,0.9614011,1,1
3d67e1080239.png,1.0,7.914621e-12,0,0
2940146209ca.png,0.9999938,6.1721885e-06,0,0
1444a7936221.png,0.99997944,2.058436e-05,0,0
4dd445fbf673.png,0.05149305,0.94850695,1,1
8ff44b34a483.png,0.00047022104,0.9995298,1,1
a8892a6014de.png,0.9998257,0.00017430053,0,0
351ae1ad92b3.png,1.0,6.7659255e-16,0,0
4d85621877d2.png,0.9951289,0.004871086,0,0
b08e70c445c1.png,0.9999957,4.2865686e-06,0,0
5f4f79624c81.png,0.9999999,1.1866374e-07,0,0
b22c2f3488c5.png,0.99999815,1.872775e-06,0,0
520ae042701e.png,1.0,9.709333e-13,0,0
